N;Name;Work;Scopus;Wos
153;Задорожный Михаил Юрьевич;Сектор научной деятельности (Доцент, к.н.), 0.25;53165450200;ABB-6766-2020
154;Зимина Любовь Васильевна;Издательское дело и книговедение (Профессор, д.н.), 1;57393600500;HHC-1592-2022
155;Зорин Николай Евгеньевич;Материаловедение (Доцент, к.н.), 0.2;57191903404;
156;Зубов Дмитрий Владимирович;Аппаратурное оформление и автоматизация технологических производств имени профессора М.Б. Генералова (Доцент, к.н.), 0.25;57204976550;B-2794-2014
157;Зюлина Вера Витальевна;Менеджмент (Доцент, к.н.), 1;58485528900;ACY-6232-2022
158;Ибрагимов Гасангусейн Ибрагимович;Гуманитарные дисциплины (Профессор, д.н.), 0.25;56275401400;K-9574-2015
159;Иванников Сергей Николаевич;Технологии и оборудование машиностроения (Профессор, к.н.), 0.4;57204677604;
160;Иванов Сергей Сергеевич;ХимБиотех (Профессор, д.н.), 0.25;57197019875;B-3607-2018
161;Иванько Александр Федорович;Информатика и информационные технологии (Профессор, к.н.), 1;DOI: 10.17485/ijst/2016/v9i36/102130, September 2016., ISSN (Print) : 0974-6846, ISSN (Online) : 0974-5645.;M-4640-2015
162;Игнатьева Ольга Валерьевна;Управление персоналом (Доцент, к.н.), 1;57093936600;AAO-4584-2020
163;Илюхин Виктор Дмитриевич;Машины и технологии литейного производства (Доцент, к.н.), 0.25;57193834262;
164;Исаева Ольга Геннадьевна;Экономика и организация (Доцент, к.н.), 0.2;57218913970;O-3790-2015
165;Исаенко Александр Павлович;Управление персоналом (Доцент, к.н.), 1;58134477500;8683-2022
166;Истомина Татьяна Викторовна;СМАРТ-технологии (Профессор, д.н.), 0.25;6701358550;0-9350-2015
167;Калпин Юлий Григорьевич;Обработка материалов давлением и аддитивные технологии (Профессор, д.н.), 0.25;6507510523;
168;Калпина Нина Юльевна;Экологическая безопасность технических систем (Доцент, к.н.), 1;57222359275;
169;Калуцкий Игорь Владимирович;Информационная безопасность (Заведующий кафедрой, к.н.), 1;57211506296;
170;Кандрашина Мария Алексеевна;;58266141300;
171;Карабутов Николай Николаевич;Прикладная информатика (Профессор, д.н.), 0.5;6603372930;M-3772-2019
172;Каримов Абдулмусаввир Абдулхафизович;;57223590304;
173;Каримова Ирина Юрьевна;Реклама и связи с общественностью в медиаиндустрии (Старший преподаватель), 0.75;57212376128;GNW-3261-2022
174;Карлов Сергей Петрович;Автоматика и управление (Доцент, к.н.), 0.5;55403181300;U-7589-2019
175;Кармазин Леонид Игоревич;Математика (Ассистент), 0.25;;HIR-7168-2022
176;Карпов Александр Викторович;Инфокогнитивные технологии (Доцент, к.н.), 1;54796713100;
177;Келлер Андрей Владимирович;Наземные транспортные средства (Заведующий кафедрой, д.н.), 0.15;57189699452;S-5657-2016
178;Кесель Сергей Александрович;Информационная безопасность (Доцент, к.н.), 1;58102516700;
179;Ким Татьяна Константиновна;Физическое воспитание (Профессор, д.н.), 0.25;57201356602;ABC-5931-2021
180;Кирсанкин Андрей Александрович;Сектор научной деятельности (Доцент, к.н.), 0.25;54405698400;L-8208-2015
181;Киселева Елена Михайловна;Управление персоналом (Доцент, к.н.), 1;57189521204;AAH-1980-2020
182;Клевлеев Валерий Медхатович;Аппаратурное оформление и автоматизация технологических производств имени профессора М.Б. Генералова (Профессор, д.н.), 0.25;8957968700;AAN-5337-2020
